Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin %,gross income,Rating,Hour,Month,Month_num
750-22-1895,Branche B,Mandalay,Member,Male,Food and beverages,88.47,9,38.22,834.45,2019-01-01 00:00:00.000000,15:33,Cash,796.23,4.8,38.22,5.6,15,January,1
750-23-3682,Branche A,Yangon,Member,Female,Home and lifestyle,29.61,8,13.03,249.91,2019-01-01 00:00:00.000000,14:52,Cash,236.88,5.5,13.03,7.2,14,January,1
750-64-8021,Branche A,Yangon,Normal,Female,Electronic accessories,89.18,2,8.03,186.39,2019-01-01 00:00:00.000000,15:17,Ewallet,178.36,4.5,8.03,7.5,15,January,1
750-22-4255,Branche B,Mandalay,Member,Male,Home and lifestyle,58.72,2,6.46,123.9,2019-01-01 04:16:34.594594,17:02,Credit card,117.44,5.5,6.46,5.8,17,January,1
750-40-4927,Branche C,Naypyitaw,Normal,Female,Electronic accessories,54.83,4,9.87,229.19,2019-01-01 06:24:51.891891,20:56,Ewallet,219.32,4.5,9.87,6.8,20,January,1
750-65-5280,Branche A,Yangon,Member,Male,Home and lifestyle,63.94,3,10.55,202.37,2019-01-01 14:58:01.081081,19:58,Ewallet,191.82,5.5,10.55,9.5,19,January,1
750-80-7608,Branche C,Naypyitaw,Member,Male,Fashion accessories,21.02,7,7.65,154.79,2019-01-01 14:58:01.081081,17:50,Credit card,147.14,5.2,7.65,6.1,17,January,1
750-87-6007,Branche B,Mandalay,Normal,Female,Fashion accessories,59.01,6,18.41,372.47,2019-01-01 19:14:35.675675,13:16,Credit card,354.06,5.2,18.41,4.3,13,January,1
750-51-3291,Branche B,Mandalay,Normal,Female,Home and lifestyle,31.37,1,1.73,33.1,2019-01-01 23:31:10.270270,15:02,Ewallet,31.37,5.5,1.73,9.8,15,January,1
750-69-2897,Branche C,Naypyitaw,Normal,Female,Electronic accessories,93.86,3,12.67,294.25,2019-01-01 23:31:10.270270,15:15,Cash,281.58,4.5,12.67,8.5,15,January,1
750-50-5939,Branche C,Naypyitaw,Member,Male,Fashion accessories,34.19,4,7.11,143.87,2019-01-01 23:31:10.270270,10:57,Credit card,136.76,5.2,7.11,6.1,10,January,1
750-77-2806,Branche A,Yangon,Member,Female,Electronic accessories,62.48,8,22.49,522.33,2019-01-02 10:12:36.756756,13:53,Credit card,499.84,4.5,22.49,6.1,13,January,1
750-65-9031,Branche A,Yangon,Member,Male,Food and beverages,98.31,10,47.19,1030.29,2019-01-02 12:20:54.054054,17:57,Cash,983.1,4.8,47.19,9.6,17,January,1
750-25-3401,Branche B,Mandalay,Member,Male,Electronic accessories,79.17,5,17.81,413.66,2019-01-02 12:20:54.054054,13:21,Cash,395.85,4.5,17.81,9.0,13,January,1
750-88-9678,Branche C,Naypyitaw,Member,Female,Food and beverages,18.76,1,0.9,19.66,2019-01-02 14:29:11.351351,10:56,Credit card,18.76,4.8,0.9,7.0,10,January,1
750-53-2506,Branche C,Naypyitaw,Member,Female,Home and lifestyle,34.35,1,1.89,36.24,2019-01-02 14:29:11.351351,16:39,Cash,34.35,5.5,1.89,5.0,16,January,1
750-40-3567,Branche B,Mandalay,Member,Female,Health and beauty,72.55,8,34.82,615.22,2019-01-02 18:45:45.945945,12:47,Credit card,580.4,6.0,34.82,9.5,12,January,1
750-97-9636,Branche A,Yangon,Normal,Male,Food and beverages,68.1,3,9.81,214.11,2019-01-02 18:45:45.945945,11:53,Cash,204.3,4.8,9.81,7.7,11,January,1
750-76-1089,Branche B,Mandalay,Member,Female,Health and beauty,71.17,7,29.89,528.08,2019-01-02 20:54:03.243243,14:47,Ewallet,498.19,6.0,29.89,4.9,14,January,1
750-60-6707,Branche B,Mandalay,Normal,Male,Fashion accessories,19.26,2,2.0,40.52,2019-01-03 01:10:37.837837,14:51,Credit card,38.52,5.2,2.0,5.9,14,January,1
750-95-9967,Branche C,Naypyitaw,Member,Female,Electronic accessories,51.27,1,2.31,53.58,2019-01-03 03:18:55.135135,17:01,Cash,51.27,4.5,2.31,7.6,17,January,1
750-56-6375,Branche C,Naypyitaw,Normal,Male,Fashion accessories,36.4,10,18.93,382.93,2019-01-03 03:18:55.135135,18:08,Credit card,364.0,5.2,18.93,9.1,18,January,1
750-33-4097,Branche A,Yangon,Normal,Female,Food and beverages,65.39,7,21.97,479.7,2019-01-03 05:27:12.432432,17:20,Cash,457.73,4.8,21.97,4.4,17,January,1
750-22-6051,Branche B,Mandalay,Member,Male,Electronic accessories,65.23,5,14.68,340.83,2019-01-03 05:27:12.432432,13:38,Cash,326.15,4.5,14.68,6.2,13,January,1
750-67-1233,Branche C,Naypyitaw,Normal,Male,Sports and travel,79.28,10,45.19,837.99,2019-01-03 11:52:04.324324,13:08,Ewallet,792.8,5.7,45.19,9.8,13,January,1
750-69-5454,Branche C,Naypyitaw,Normal,Female,Home and lifestyle,21.9,6,7.23,138.63,2019-01-03 11:52:04.324324,18:15,Cash,131.4,5.5,7.23,5.7,18,January,1
750-11-4619,Branche C,Naypyitaw,Normal,Female,Home and lifestyle,47.72,6,15.75,302.07,2019-01-03 11:52:04.324324,12:27,Credit card,286.32,5.5,15.75,4.3,12,January,1
750-22-9503,Branche C,Naypyitaw,Normal,Male,Sports and travel,40.72,6,13.93,258.25,2019-01-03 16:08:38.918918,11:49,Cash,244.32,5.7,13.93,7.8,11,January,1
750-97-3303,Branche A,Yangon,Normal,Male,Fashion accessories,69.67,7,25.36,513.05,2019-01-03 18:16:56.216216,19:30,Cash,487.69,5.2,25.36,5.2,19,January,1
750-43-8269,Branche B,Mandalay,Normal,Male,Food and beverages,86.55,10,41.54,907.04,2019-01-03 20:25:13.513513,11:36,Cash,865.5,4.8,41.54,4.3,11,January,1
750-92-8813,Branche C,Naypyitaw,Normal,Female,Home and lifestyle,99.0,2,10.89,208.89,2019-01-03 22:33:30.810810,18:06,Credit card,198.0,5.5,10.89,5.6,18,January,1
750-38-1753,Branche B,Mandalay,Member,Male,Food and beverages,16.21,10,7.78,169.88,2019-01-03 22:33:30.810810,14:02,Cash,162.1,4.8,7.78,7.5,14,January,1
750-80-4626,Branche A,Yangon,Normal,Female,Electronic accessories,11.25,2,1.01,23.51,2019-01-04 00:41:48.108108,18:39,Ewallet,22.5,4.5,1.01,4.0,18,January,1
750-39-3646,Branche C,Naypyitaw,Member,Female,Food and beverages,84.58,1,4.06,88.64,2019-01-04 02:50:05.405405,18:45,Credit card,84.58,4.8,4.06,4.3,18,January,1
750-38-7110,Branche C,Naypyitaw,Normal,Female,Food and beverages,24.64,3,3.55,77.47,2019-01-04 07:06:40.000000,17:58,Ewallet,73.92,4.8,3.55,8.8,17,January,1
750-83-2810,Branche A,Yangon,Member,Male,Fashion accessories,49.66,5,12.91,261.21,2019-01-04 09:14:57.297297,13:54,Credit card,248.3,5.2,12.91,7.7,13,January,1
750-47-8053,Branche C,Naypyitaw,Member,Male,Electronic accessories,99.33,6,26.82,622.8,2019-01-04 11:23:14.594594,13:05,Cash,595.98,4.5,26.82,7.5,13,January,1
750-36-6984,Branche A,Yangon,Normal,Male,Home and lifestyle,53.06,9,26.26,503.8,2019-01-04 13:31:31.891891,19:07,Credit card,477.54,5.5,26.26,7.9,19,January,1
750-14-1804,Branche C,Naypyitaw,Normal,Female,Sports and travel,43.9,8,20.02,371.22,2019-01-04 15:39:49.189189,17:03,Cash,351.2,5.7,20.02,6.2,17,January,1
750-27-6327,Branche C,Naypyitaw,Member,Female,Fashion accessories,89.77,6,28.01,566.63,2019-01-04 15:39:49.189189,15:02,Cash,538.62,5.2,28.01,8.5,15,January,1
750-10-6672,Branche A,Yangon,Normal,Male,Sports and travel,30.36,6,10.38,192.54,2019-01-04 19:56:23.783783,15:15,Cash,182.16,5.7,10.38,5.9,15,January,1
750-98-4512,Branche A,Yangon,Normal,Female,Food and beverages,45.42,7,15.26,333.2,2019-01-05 06:37:50.270270,10:23,Credit card,317.94,4.8,15.26,9.9,10,January,1
750-64-2351,Branche B,Mandalay,Normal,Female,Food and beverages,52.92,6,15.24,332.76,2019-01-05 10:54:24.864864,14:47,Cash,317.52,4.8,15.24,5.3,14,January,1
750-79-8814,Branche C,Naypyitaw,Member,Female,Health and beauty,37.7,10,22.62,399.62,2019-01-05 17:19:16.756756,19:13,Credit card,377.0,6.0,22.62,9.8,19,January,1
750-77-4811,Branche A,Yangon,Member,Male,Health and beauty,14.38,5,4.31,76.21,2019-01-05 19:27:34.054054,15:09,Cash,71.9,6.0,4.31,7.5,15,January,1
750-89-7374,Branche A,Yangon,Member,Male,Food and beverages,47.33,3,6.82,148.81,2019-01-05 19:27:34.054054,15:01,Cash,141.99,4.8,6.82,4.1,15,January,1
750-63-1033,Branche B,Mandalay,Normal,Male,Home and lifestyle,93.6,6,30.89,592.49,2019-01-06 04:00:43.243243,14:37,Cash,561.6,5.5,30.89,5.4,14,January,1
750-12-3200,Branche B,Mandalay,Member,Male,Fashion accessories,99.29,6,30.98,626.72,2019-01-06 04:00:43.243243,13:16,Ewallet,595.74,5.2,30.98,4.9,13,January,1
750-71-6768,Branche C,Naypyitaw,Member,Female,Health and beauty,78.38,2,9.41,166.17,2019-01-06 04:00:43.243243,17:10,Cash,156.76,6.0,9.41,5.6,17,January,1
750-43-1703,Branche A,Yangon,Normal,Female,Sports and travel,91.97,4,20.97,388.85,2019-01-06 04:00:43.243243,18:37,Credit card,367.88,5.7,20.97,8.4,18,January,1
750-59-1071,Branche A,Yangon,Normal,Male,Sports and travel,31.63,5,9.01,167.16,2019-01-06 06:09:00.540540,12:46,Ewallet,158.15,5.7,9.01,4.3,12,January,1
750-57-8990,Branche C,Naypyitaw,Normal,Female,Food and beverages,12.16,7,4.09,89.21,2019-01-06 08:17:17.837837,14:25,Credit card,85.12,4.8,4.09,4.4,14,January,1
750-67-7825,Branche C,Naypyitaw,Normal,Male,Sports and travel,59.22,3,10.13,187.79,2019-01-06 08:17:17.837837,17:37,Credit card,177.66,5.7,10.13,5.6,17,January,1
750-23-5039,Branche C,Naypyitaw,Member,Male,Sports and travel,48.0,2,5.47,101.47,2019-01-06 08:17:17.837837,15:07,Credit card,96.0,5.7,5.47,4.1,15,January,1
750-83-6367,Branche A,Yangon,Normal,Male,Electronic accessories,29.26,7,9.22,214.04,2019-01-06 10:25:35.135135,11:32,Credit card,204.82,4.5,9.22,4.9,11,January,1
750-27-9645,Branche A,Yangon,Member,Female,Fashion accessories,21.3,5,5.54,112.04,2019-01-06 14:42:09.729729,10:06,Credit card,106.5,5.2,5.54,4.7,10,January,1
750-79-7642,Branche A,Yangon,Normal,Male,Electronic accessories,32.39,8,11.66,270.78,2019-01-06 18:58:44.324324,18:49,Ewallet,259.12,4.5,11.66,9.0,18,January,1
750-20-8434,Branche A,Yangon,Normal,Female,Food and beverages,80.51,9,34.78,759.37,2019-01-06 21:07:01.621621,17:05,Credit card,724.59,4.8,34.78,9.5,17,January,1
750-31-8129,Branche C,Naypyitaw,Normal,Male,Home and lifestyle,20.8,3,3.43,65.83,2019-01-06 23:15:18.918918,15:27,Cash,62.4,5.5,3.43,4.1,15,January,1
750-37-1511,Branche A,Yangon,Member,Female,Home and lifestyle,40.49,9,20.04,384.45,2019-01-07 01:23:36.216216,19:10,Ewallet,364.41,5.5,20.04,5.0,19,January,1
750-65-5506,Branche A,Yangon,Normal,Female,Health and beauty,83.65,2,10.04,177.34,2019-01-07 03:31:53.513513,17:42,Credit card,167.3,6.0,10.04,8.5,17,January,1
750-46-9283,Branche B,Mandalay,Normal,Female,Fashion accessories,25.7,2,2.67,54.07,2019-01-07 05:40:10.810810,11:39,Cash,51.4,5.2,2.67,8.6,11,January,1
750-69-8981,Branche A,Yangon,Member,Female,Home and lifestyle,68.12,7,26.23,503.07,2019-01-07 12:05:02.702702,16:23,Cash,476.84,5.5,26.23,8.9,16,January,1
750-18-5687,Branche C,Naypyitaw,Normal,Female,Electronic accessories,76.78,6,20.73,481.41,2019-01-07 12:05:02.702702,18:29,Ewallet,460.68,4.5,20.73,7.1,18,January,1
750-92-8365,Branche A,Yangon,Member,Male,Health and beauty,38.1,10,22.86,403.86,2019-01-07 14:13:20.000000,11:47,Credit card,381.0,6.0,22.86,5.6,11,January,1
750-28-5035,Branche C,Naypyitaw,Normal,Male,Electronic accessories,18.09,8,6.51,151.23,2019-01-07 16:21:37.297297,11:45,Ewallet,144.72,4.5,6.51,4.1,11,January,1
750-20-3542,Branche B,Mandalay,Normal,Female,Food and beverages,87.53,5,21.01,458.66,2019-01-07 18:29:54.594594,17:26,Cash,437.65,4.8,21.01,7.8,17,January,1
750-15-8744,Branche C,Naypyitaw,Normal,Male,Food and beverages,13.88,10,6.66,145.46,2019-01-08 00:54:46.486486,14:09,Ewallet,138.8,4.8,6.66,5.8,14,January,1
750-60-9191,Branche C,Naypyitaw,Normal,Female,Electronic accessories,83.29,7,26.24,609.27,2019-01-08 00:54:46.486486,14:22,Cash,583.03,4.5,26.24,4.6,14,January,1
750-78-8190,Branche A,Yangon,Normal,Male,Electronic accessories,66.71,4,12.01,278.85,2019-01-08 03:03:03.783783,14:47,Ewallet,266.84,4.5,12.01,8.8,14,January,1
750-40-4491,Branche C,Naypyitaw,Member,Male,Electronic accessories,82.91,3,11.19,259.92,2019-01-08 05:11:21.081081,15:19,Credit card,248.73,4.5,11.19,7.3,15,January,1
750-39-6964,Branche C,Naypyitaw,Normal,Female,Home and lifestyle,25.19,9,12.47,239.18,2019-01-08 07:19:38.378378,12:26,Cash,226.71,5.5,12.47,6.9,12,January,1
750-58-2511,Branche A,Yangon,Member,Male,Sports and travel,87.32,6,29.86,553.78,2019-01-08 13:44:30.270270,16:20,Cash,523.92,5.7,29.86,9.5,16,January,1
750-47-9820,Branche C,Naypyitaw,Normal,Male,Home and lifestyle,63.77,4,14.03,269.11,2019-01-08 13:44:30.270270,19:31,Credit card,255.08,5.5,14.03,7.4,19,January,1
750-90-8723,Branche C,Naypyitaw,Normal,Male,Fashion accessories,63.41,8,26.38,533.66,2019-01-08 13:44:30.270270,13:50,Credit card,507.28,5.2,26.38,9.2,13,January,1
750-26-9367,Branche A,Yangon,Normal,Female,Sports and travel,21.09,10,12.02,222.92,2019-01-08 13:44:30.270270,14:09,Ewallet,210.9,5.7,12.02,8.6,14,January,1
750-46-4404,Branche B,Mandalay,Member,Female,Food and beverages,62.0,1,2.98,64.98,2019-01-08 13:44:30.270270,17:32,Cash,62.0,4.8,2.98,9.7,17,January,1
750-23-1721,Branche A,Yangon,Normal,Female,Health and beauty,23.43,6,8.43,149.01,2019-01-08 15:52:47.567567,18:28,Cash,140.58,6.0,8.43,8.8,18,January,1
750-62-7012,Branche A,Yangon,Member,Male,Electronic accessories,27.88,8,10.04,233.08,2019-01-08 15:52:47.567567,14:29,Cash,223.04,4.5,10.04,7.1,14,January,1
750-30-3070,Branche A,Yangon,Normal,Female,Electronic accessories,91.63,1,4.12,95.75,2019-01-08 18:01:04.864864,11:27,Cash,91.63,4.5,4.12,5.0,11,January,1
750-52-5562,Branche C,Naypyitaw,Member,Male,Fashion accessories,14.84,3,2.32,46.84,2019-01-08 20:09:22.162162,13:44,Ewallet,44.52,5.2,2.32,9.8,13,January,1
750-43-9753,Branche C,Naypyitaw,Member,Female,Home and lifestyle,18.86,6,6.22,119.38,2019-01-09 00:25:56.756756,14:39,Ewallet,113.16,5.5,6.22,4.9,14,January,1
750-57-5147,Branche C,Naypyitaw,Member,Female,Fashion accessories,42.83,4,8.91,180.23,2019-01-09 02:34:14.054054,12:03,Credit card,171.32,5.2,8.91,5.0,12,January,1
750-40-9802,Branche A,Yangon,Normal,Male,Health and beauty,40.53,9,21.89,386.66,2019-01-09 04:42:31.351351,13:38,Credit card,364.77,6.0,21.89,5.5,13,January,1
750-72-9171,Branche C,Naypyitaw,Normal,Male,Food and beverages,86.85,9,37.52,819.17,2019-01-09 04:42:31.351351,16:13,Credit card,781.65,4.8,37.52,7.8,16,January,1
750-62-3413,Branche C,Naypyitaw,Member,Female,Fashion accessories,47.68,10,24.79,501.59,2019-01-09 04:42:31.351351,15:20,Ewallet,476.8,5.2,24.79,9.2,15,January,1
750-31-1386,Branche C,Naypyitaw,Member,Male,Fashion accessories,61.62,10,32.04,648.24,2019-01-09 04:42:31.351351,13:23,Cash,616.2,5.2,32.04,7.4,13,January,1
750-44-3415,Branche A,Yangon,Member,Male,Home and lifestyle,26.6,9,13.17,252.57,2019-01-09 08:59:05.945945,11:54,Credit card,239.4,5.5,13.17,5.2,11,January,1
750-19-8726,Branche A,Yangon,Member,Female,Health and beauty,10.63,3,1.91,33.8,2019-01-09 08:59:05.945945,19:59,Ewallet,31.89,6.0,1.91,9.0,19,January,1
750-74-9509,Branche B,Mandalay,Member,Female,Electronic accessories,39.85,10,17.93,416.43,2019-01-09 08:59:05.945945,16:48,Ewallet,398.5,4.5,17.93,7.4,16,January,1
750-47-3779,Branche C,Naypyitaw,Member,Female,Health and beauty,83.42,4,20.02,353.7,2019-01-09 08:59:05.945945,13:09,Cash,333.68,6.0,20.02,7.2,13,January,1
750-12-4546,Branche C,Naypyitaw,Member,Female,Food and beverages,35.25,4,6.77,147.77,2019-01-09 08:59:05.945945,14:49,Cash,141.0,4.8,6.77,4.5,14,January,1
750-33-6419,Branche A,Yangon,Member,Female,Sports and travel,41.09,10,23.42,434.32,2019-01-09 11:07:23.243243,19:17,Ewallet,410.9,5.7,23.42,9.3,19,January,1
750-73-7980,Branche B,Mandalay,Member,Female,Fashion accessories,95.05,2,9.89,199.99,2019-01-09 13:15:40.540540,17:57,Credit card,190.1,5.2,9.89,5.1,17,January,1
750-81-8538,Branche B,Mandalay,Member,Male,Fashion accessories,80.02,5,20.81,420.91,2019-01-09 17:32:15.135135,17:29,Credit card,400.1,5.2,20.81,8.7,17,January,1
750-22-2856,Branche B,Mandalay,Normal,Female,Electronic accessories,36.76,6,9.93,230.49,2019-01-09 21:48:49.729729,16:55,Credit card,220.56,4.5,9.93,8.7,16,January,1
750-95-3072,Branche A,Yangon,Member,Female,Sports and travel,78.99,4,18.01,333.97,2019-01-09 21:48:49.729729,13:30,Ewallet,315.96,5.7,18.01,6.3,13,January,1
750-42-9131,Branche B,Mandalay,Normal,Male,Food and beverages,80.37,8,30.86,673.82,2019-01-10 06:21:58.918918,15:26,Credit card,642.96,4.8,30.86,7.3,15,January,1
750-45-8664,Branche B,Mandalay,Member,Female,Health and beauty,14.35,10,8.61,152.11,2019-01-10 06:21:58.918918,12:16,Ewallet,143.5,6.0,8.61,9.8,12,January,1
750-80-6432,Branche B,Mandalay,Member,Male,Electronic accessories,89.19,3,12.04,279.61,2019-01-10 06:21:58.918918,11:55,Credit card,267.57,4.5,12.04,4.2,11,January,1
750-46-2331,Branche A,Yangon,Member,Male,Electronic accessories,66.82,2,6.01,139.65,2019-01-10 10:38:33.513513,15:42,Credit card,133.64,4.5,6.01,5.8,15,January,1
750-91-7079,Branche C,Naypyitaw,Member,Male,Health and beauty,62.7,8,30.1,531.7,2019-01-10 17:03:25.405405,12:06,Credit card,501.6,6.0,30.1,4.8,12,January,1
750-82-9166,Branche A,Yangon,Member,Male,Health and beauty,42.63,9,23.02,406.69,2019-01-10 21:20:00.000000,19:43,Ewallet,383.67,6.0,23.02,7.8,19,January,1
750-75-4577,Branche C,Naypyitaw,Normal,Female,Electronic accessories,58.98,5,13.27,308.17,2019-01-10 21:20:00.000000,16:01,Ewallet,294.9,4.5,13.27,5.7,16,January,1
750-43-6347,Branche C,Naypyitaw,Normal,Male,Food and beverages,20.72,6,5.97,130.29,2019-01-10 23:28:17.297297,10:44,Credit card,124.32,4.8,5.97,5.7,10,January,1
750-61-5329,Branche C,Naypyitaw,Member,Male,Fashion accessories,48.38,6,15.09,305.37,2019-01-11 01:36:34.594594,16:11,Ewallet,290.28,5.2,15.09,8.0,16,January,1
750-79-7928,Branche A,Yangon,Normal,Male,Home and lifestyle,81.3,10,44.72,857.72,2019-01-11 01:36:34.594594,15:47,Credit card,813.0,5.5,44.72,6.9,15,January,1
750-14-3791,Branche A,Yangon,Normal,Male,Health and beauty,84.66,4,20.32,358.96,2019-01-11 03:44:51.891891,18:18,Ewallet,338.64,6.0,20.32,5.1,18,January,1
750-20-8836,Branche C,Naypyitaw,Normal,Male,Fashion accessories,25.29,1,1.32,26.61,2019-01-11 03:44:51.891891,12:51,Cash,25.29,5.2,1.32,7.7,12,January,1
750-57-9866,Branche C,Naypyitaw,Member,Female,Fashion accessories,22.9,4,4.76,96.36,2019-01-11 16:34:35.675675,15:58,Ewallet,91.6,5.2,4.76,9.6,15,January,1
750-41-9368,Branche B,Mandalay,Member,Female,Electronic accessories,89.6,7,28.22,655.42,2019-01-11 16:34:35.675675,19:58,Credit card,627.2,4.5,28.22,5.7,19,January,1
750-68-2285,Branche C,Naypyitaw,Normal,Female,Fashion accessories,42.23,6,13.18,266.56,2019-01-11 18:42:52.972972,18:19,Cash,253.38,5.2,13.18,8.9,18,January,1
750-24-5055,Branche A,Yangon,Normal,Male,Home and lifestyle,43.93,9,21.75,417.12,2019-01-11 18:42:52.972972,15:21,Cash,395.37,5.5,21.75,6.7,15,January,1
750-38-4090,Branche C,Naypyitaw,Normal,Male,Sports and travel,62.63,6,21.42,397.2,2019-01-12 01:07:44.864864,15:41,Credit card,375.78,5.7,21.42,8.0,15,January,1
750-81-4238,Branche A,Yangon,Member,Female,Fashion accessories,47.39,5,12.32,249.27,2019-01-12 05:24:19.459459,15:42,Cash,236.95,5.2,12.32,6.9,15,January,1
750-32-6422,Branche C,Naypyitaw,Member,Male,Electronic accessories,49.78,10,22.4,520.2,2019-01-12 05:24:19.459459,16:37,Credit card,497.8,4.5,22.4,7.8,16,January,1
750-87-5431,Branche A,Yangon,Member,Female,Health and beauty,83.29,6,29.98,529.72,2019-01-12 05:24:19.459459,13:21,Cash,499.74,6.0,29.98,9.0,13,January,1
750-54-3088,Branche B,Mandalay,Normal,Male,Fashion accessories,59.81,3,9.33,188.76,2019-01-12 07:32:36.756756,10:10,Cash,179.43,5.2,9.33,5.9,10,January,1
750-61-2934,Branche A,Yangon,Normal,Female,Electronic accessories,36.27,5,8.16,189.51,2019-01-12 07:32:36.756756,13:52,Cash,181.35,4.5,8.16,8.8,13,January,1
750-79-2672,Branche B,Mandalay,Member,Male,Sports and travel,82.22,9,42.18,782.16,2019-01-12 16:05:45.945945,11:25,Credit card,739.98,5.7,42.18,7.3,11,January,1
750-74-3291,Branche A,Yangon,Normal,Female,Fashion accessories,96.38,1,5.01,101.39,2019-01-12 18:14:03.243243,15:27,Cash,96.38,5.2,5.01,8.9,15,January,1
750-68-7175,Branche A,Yangon,Normal,Male,Food and beverages,49.17,6,14.16,309.18,2019-01-12 18:14:03.243243,12:38,Ewallet,295.02,4.8,14.16,9.3,12,January,1
750-71-6188,Branche B,Mandalay,Member,Female,Health and beauty,29.86,3,5.37,94.95,2019-01-12 18:14:03.243243,17:34,Ewallet,89.58,6.0,5.37,10.0,17,January,1
750-96-8182,Branche C,Naypyitaw,Member,Female,Food and beverages,65.54,8,25.17,549.49,2019-01-12 22:30:37.837837,16:00,Credit card,524.32,4.8,25.17,9.4,16,January,1
750-26-2734,Branche B,Mandalay,Member,Female,Home and lifestyle,90.76,6,29.95,574.51,2019-01-13 00:38:55.135135,18:29,Ewallet,544.56,5.5,29.95,4.3,18,January,1
750-20-7961,Branche A,Yangon,Member,Female,Electronic accessories,92.35,6,24.93,579.03,2019-01-13 04:55:29.729729,16:35,Cash,554.1,4.5,24.93,5.6,16,January,1
750-72-7219,Branche B,Mandalay,Normal,Female,Electronic accessories,70.58,9,28.58,663.8,2019-01-13 04:55:29.729729,17:45,Cash,635.22,4.5,28.58,4.7,17,January,1
750-53-1106,Branche A,Yangon,Normal,Female,Fashion accessories,76.09,9,35.61,720.42,2019-01-13 07:03:47.027027,18:20,Ewallet,684.81,5.2,35.61,4.8,18,January,1
750-55-1500,Branche B,Mandalay,Normal,Female,Fashion accessories,84.35,5,21.93,443.68,2019-01-13 11:20:21.621621,13:12,Cash,421.75,5.2,21.93,6.0,13,January,1
750-79-5929,Branche A,Yangon,Member,Female,Home and lifestyle,46.49,8,20.46,392.38,2019-01-13 13:28:38.918918,15:40,Ewallet,371.92,5.5,20.46,7.5,15,January,1
750-56-7605,Branche A,Yangon,Member,Female,Health and beauty,87.9,9,47.47,838.57,2019-01-13 17:45:13.513513,12:41,Cash,791.1,6.0,47.47,6.3,12,January,1
750-68-9391,Branche A,Yangon,Normal,Female,Health and beauty,11.16,2,1.34,23.66,2019-01-13 17:45:13.513513,18:38,Credit card,22.32,6.0,1.34,9.1,18,January,1
750-61-6648,Branche A,Yangon,Member,Female,Electronic accessories,70.45,1,3.17,73.62,2019-01-13 19:53:30.810810,14:44,Cash,70.45,4.5,3.17,8.1,14,January,1
750-63-4413,Branche A,Yangon,Normal,Female,Food and beverages,26.8,10,12.86,280.86,2019-01-13 22:01:48.108108,12:26,Cash,268.0,4.8,12.86,9.6,12,January,1
750-88-5929,Branche C,Naypyitaw,Member,Male,Fashion accessories,38.42,5,9.99,202.09,2019-01-13 22:01:48.108108,16:27,Ewallet,192.1,5.2,9.99,6.2,16,January,1
750-68-9917,Branche A,Yangon,Member,Male,Sports and travel,21.99,8,10.03,185.95,2019-01-14 02:18:22.702702,11:06,Credit card,175.92,5.7,10.03,8.5,11,January,1
750-81-1402,Branche A,Yangon,Member,Female,Health and beauty,76.74,2,9.21,162.69,2019-01-14 04:26:40.000000,17:52,Cash,153.48,6.0,9.21,9.6,17,January,1
750-34-8181,Branche C,Naypyitaw,Normal,Female,Home and lifestyle,91.22,7,35.12,673.66,2019-01-14 08:43:14.594594,19:24,Ewallet,638.54,5.5,35.12,5.9,19,January,1
750-69-8188,Branche C,Naypyitaw,Member,Male,Health and beauty,99.69,3,17.94,317.01,2019-01-14 15:08:06.486486,16:26,Cash,299.07,6.0,17.94,7.4,16,January,1
750-13-5127,Branche B,Mandalay,Normal,Male,Fashion accessories,50.53,6,15.77,318.95,2019-01-14 15:08:06.486486,19:19,Credit card,303.18,5.2,15.77,5.1,19,January,1
750-57-6280,Branche C,Naypyitaw,Normal,Female,Home and lifestyle,72.31,5,19.89,381.44,2019-01-14 17:16:23.783783,10:01,Ewallet,361.55,5.5,19.89,7.0,10,January,1
750-34-2125,Branche B,Mandalay,Member,Female,Fashion accessories,66.83,1,3.48,70.31,2019-01-14 23:41:15.675675,18:00,Cash,66.83,5.2,3.48,6.0,18,January,1
750-40-8996,Branche C,Naypyitaw,Member,Male,Fashion accessories,97.05,1,5.05,102.1,2019-01-15 01:49:32.972972,15:00,Ewallet,97.05,5.2,5.05,6.0,15,January,1
